DeviceDateTime,Longitute,Latitude,Speed,Di1,Di2,Di3
31:54.0,21.170107,42.660053,0,1,0,1
32:03.0,21.170107,42.660053,0,1,1,1
32:13.0,21.170283,42.660023,18,1,1,1
32:14.0,21.170348,42.66,22,1,1,0
32:24.0,21.171338,42.659792,20,1,1,0
32:34.0,21.172685,42.659712,53,1,1,0
32:44.0,21.174532,42.65962,43,1,1,0
32:54.0,21.176207,42.659415,60,1,1,0
33:04.0,21.1778,42.659203,34,1,1,0
33:14.0,21.178868,42.659272,29,1,1,0
33:24.0,21.179548,42.65926,34,1,1,0
33:34.0,21.180733,42.65924,18,1,1,0
33:44.0,21.181492,42.659153,14,1,1,0
33:54.0,21.1818,42.659112,8,1,1,0
34:02.0,21.18226,42.658983,9,1,1,1
34:06.0,21.182288,42.65897,0,1,0,1
03:18.0,21.163718,42.639255,0,0,0,1
05:22.0,21.163718,42.639255,0,1,1,1
05:25.0,21.163718,42.639255,0,1,1,1
05:28.0,21.163718,42.639255,0,1,1,1
05:30.0,21.163687,42.639248,8,1,1,1
05:36.0,21.163578,42.639255,5,1,1,0
05:43.0,21.163472,42.639657,32,1,1,0
05:53.0,21.163602,42.640347,14,1,1,0
06:03.0,21.163703,42.640633,7,1,1,0
06:13.0,21.163727,42.640697,0,1,1,0
06:23.0,21.163745,42.64081,5,1,1,0
06:25.0,21.163698,42.640832,9,1,1,0
06:28.0,21.163575,42.640777,16,1,1,0
06:38.0,21.162948,42.640298,22,1,1,0
06:48.0,21.162073,42.640258,22,1,1,0
06:51.0,21.1619,42.640188,21,1,1,0
07:00.0,21.16153,42.63975,20,1,1,0
07:09.0,21.160825,42.639433,34,1,1,0
07:19.0,21.160183,42.63906,28,1,1,0
07:29.0,21.159908,42.639072,0,1,1,0
07:39.0,21.159908,42.639072,0,1,1,0
07:49.0,21.159908,42.639072,0,1,1,0
07:59.0,21.159683,42.639093,6,1,1,0
08:01.0,21.15966,42.639048,8,1,1,0
08:11.0,21.160068,42.63871,26,1,1,0
08:16.0,21.160303,42.638435,25,1,1,0
08:20.0,21.160128,42.638208,29,1,1,0
08:30.0,21.159518,42.637697,31,1,1,0
08:40.0,21.159273,42.63689,33,1,1,0
08:50.0,21.15866,42.63608,39,1,1,0
09:00.0,21.15798,42.635297,40,1,1,0
09:07.0,21.158068,42.634792,12,1,1,0
09:16.0,21.15813,42.63472,0,1,0,0
09:26.0,21.15813,42.63472,0,1,0,0
09:36.0,21.15813,42.63472,0,1,0,0
09:46.0,21.15813,42.63472,0,1,0,0
09:56.0,21.15813,42.63472,0,1,0,0
10:06.0,21.15813,42.63472,0,1,0,0
10:16.0,21.15813,42.63472,0,1,0,0
10:26.0,21.15813,42.63472,0,1,0,0
10:36.0,21.15813,42.63472,0,1,0,0
